Indicator Name
Fertilizer consumption (% of fertilizer production)
Fertilizer consumption (kilograms per hectare of arable land)
Agricultural land (sq. km)
Agricultural land (% of land area)
Arable land (hectares)
Arable land (hectares per person)
Arable land (% of land area)
Land under cereal production (hectares)
Permanent cropland (% of land area)
Rural land area where elevation is below 5 meters (sq. km)
Rural land area where elevation is below 5 meters (% of total land area)
Urban land area where elevation is below 5 meters (sq. km)
Urban land area where elevation is below 5 meters (% of total land area)
Land area where elevation is below 5 meters (% of total land area)
Forest area (sq. km)
Forest area (% of land area)
Agricultural irrigated land (% of total agricultural land)
Average precipitation in depth (mm per year)
Land area (sq. km)
Rural land area (sq. km)
Urban land area (sq. km)
Cereal production (metric tons)
Crop production index (2014-2016 = 100)
Food production index (2014-2016 = 100)
Livestock production index (2014-2016 = 100)
Surface area (sq. km)
Cereal yield (kg per hectare)
Trade in services (% of GDP)
"Communications, computer, etc. (% of service imports, BoP)"
"Primary income payments (BoP, current US$)"
"Labor force with advanced education, female (% of female working-age population with advanced education)"
"Labor force with advanced education, male (% of male working-age population with advanced education)"
Labor force with advanced education (% of total working-age population with advanced education)
"Labor force with basic education, female (% of female working-age population with basic education)"
"Labor force with basic education, male (% of male working-age population with basic education)"
Labor force with basic education (% of total working-age population with basic education)
"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
Ratio of female to male labor force participation rate (%) (national estimate)
Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
"Labor force with intermediate education, female (% of female working-age population with intermediate education)"
"Labor force with intermediate education, male (% of male working-age population with intermediate education)"
Labor force with intermediate education (% of total working-age population with intermediate education)
"Part time employment, female (% of total female employment)"
"Part time employment, male (% of total male employment)"
"Part time employment, total (% of total employment)"
"Labor force, female (% of total labor force)"
"Labor force, total"
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
"Unemployment with advanced education, female (% of female labor force with advanced education)"
"Unemployment with advanced education, male (% of male labor force with advanced education)"
Unemployment with advanced education (% of total labor force with advanced education)
"Unemployment with basic education, female (% of female labor force with basic education)"
"Unemployment with basic education, male (% of male labor force with basic education)"
Unemployment with basic education (% of total labor force with basic education)
"Unemployment with intermediate education, female (% of female labor force with intermediate education)"
"Unemployment with intermediate education, male (% of male labor force with intermediate education)"
Unemployment with intermediate education (% of total labor force with intermediate education)
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)"
"Share of youth not in education, employment or training, female (% of female youth population)"
"Share of youth not in education, employment or training, male (% of male youth population) (modeled ILO estimate)"
"Share of youth not in education, employment or training, male (% of male youth population)"
"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)"
"Share of youth not in education, employment or training, total (% of youth population)"
"Unemployment, female (% of female labor force) (national estimate)"
"Unemployment, female (% of female labor force) (modeled ILO estimate)"
"Unemployment, male (% of male labor force) (national estimate)"
"Unemployment, male (% of male labor force) (modeled ILO estimate)"
"Unemployment, total (% of total labor force) (national estimate)"
"Unemployment, total (% of total labor force) (modeled ILO estimate)"
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)"
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
"Children in employment, wage workers (% of children in employment, ages 7-14)"
Net migration
Refugee population by country or territory of asylum
Refugee population by country or territory of origin
"International migrant stock, total"
International migrant stock (% of population)
Prevalence of undernourishment (% of population)
Prevalence of moderate or severe food insecurity in the population (%)
Consumption of iodized salt (% of households)
Prevalence of severe food insecurity in the population (%)
Vitamin A supplementation coverage rate (% of children ages 6-59 months)
"Adolescent fertility rate (births per 1,000 women ages 15-19)"
"Mortality rate, adult, female (per 1,000 female adults)"
"Mortality rate, adult, male (per 1,000 male adults)"
"Birth rate, crude (per 1,000 people)"
"Death rate, crude (per 1,000 people)"
"Contraceptive prevalence, any modern method (% of married women ages 15-49)"
"Contraceptive prevalence, any method (% of married women ages 15-49)"
"Mortality rate, infant, female (per 1,000 live births)"
"Mortality rate, infant (per 1,000 live births)"
"Mortality rate, infant, male (per 1,000 live births)"
"Life expectancy at birth, female (years)"
"Life expectancy at birth, total (years)"
"Life expectancy at birth, male (years)"
"Fertility rate, total (births per woman)"
"Survival to age 65, female (% of cohort)"
"Survival to age 65, male (% of cohort)"
Wanted fertility rate (births per woman)
Female headed households (% of households with a female head)
Women who were first married by age 15 (% of women ages 20-24)
Women who were first married by age 18 (% of women ages 20-24)
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
"Population ages 00-04, female (% of female population)"
"Population ages 00-04, male (% of male population)"
"Population ages 0-14, female"
"Population ages 0-14, female (% of female population)"
"Population ages 0-14, male"
"Population ages 0-14, male (% of male population)"
"Population ages 0-14, total"
Population ages 0-14 (% of total population)
"Population ages 05-09, female (% of female population)"
"Population ages 05-09, male (% of male population)"
"Population ages 10-14, female (% of female population)"
"Population ages 10-14, male (% of male population)"
"Population ages 15-19, female (% of female population)"
"Population ages 15-19, male (% of male population)"
"Population ages 15-64, female"
"Population ages 15-64, female (% of female population)"
"Population ages 15-64, male"
"Population ages 15-64, male (% of male population)"
"Population ages 15-64, total"
Population ages 15-64 (% of total population)
"Population ages 20-24, female (% of female population)"
"Population ages 20-24, male (% of male population)"
"Population ages 25-29, female (% of female population)"
"Population ages 25-29, male (% of male population)"
"Population ages 30-34, female (% of female population)"
"Population ages 30-34, male (% of male population)"
"Population ages 35-39, female (% of female population)"
"Population ages 35-39, male (% of male population)"
"Population ages 40-44, female (% of female population)"
"Population ages 40-44, male (% of male population)"
"Population ages 45-49, female (% of female population)"
"Population ages 45-49, male (% of male population)"
"Population ages 50-54, female (% of female population)"
"Population ages 50-54, male (% of male population)"
"Population ages 55-59, female (% of female population)"
"Population ages 55-59, male (% of male population)"
"Population ages 60-64, female (% of female population)"
"Population ages 60-64, male (% of male population)"
"Population ages 65-69, female (% of female population)"
"Population ages 65-69, male (% of male population)"
"Population ages 65 and above, female"
"Population ages 65 and above, female (% of female population)"
"Population ages 65 and above, male"
"Population ages 65 and above, male (% of male population)"
"Population ages 65 and above, total"
Population ages 65 and above (% of total population)
"Population ages 70-74, female (% of female population)"
"Population ages 70-74, male (% of male population)"
"Population ages 75-79, female (% of female population)"
"Population ages 75-79, male (% of male population)"
"Population ages 80 and above, female (% of female population)"
"Population ages 80 and above, male (% of male population)"
Sex ratio at birth (male births per female births)
Age dependency ratio (% of working-age population)
"Age dependency ratio, old (% of working-age population)"
"Age dependency ratio, young (% of working-age population)"
Population growth (annual %)
Researchers in R&D (per million people)
Technicians in R&D (per million people)
"Population, total"
"Population, female"
"Population, female (% of total population)"
"Population, male"
"Population, male (% of total population)"
"Completeness of birth registration, female (%)"
"Completeness of birth registration, male (%)"
"Completeness of birth registration, rural (%)"
"Completeness of birth registration, urban (%)"
Completeness of birth registration (%)
Completeness of death registration with cause-of-death information (%)
Rural population
Rural population growth (annual %)
Rural population (% of total population)
Urban population growth (annual %)
Urban population
Urban population (% of total population)
Unmet need for contraception (% of married women ages 15-49)
"International tourism, number of arrivals"
"International tourism, number of departures"
"International tourism, receipts (current US$)"
"International tourism, receipts (% of total exports)"
"International tourism, receipts for passenger transport items (current US$)"
"International tourism, expenditures for passenger transport items (current US$)"
"International tourism, receipts for travel items (current US$)"
"International tourism, expenditures for travel items (current US$)"
"International tourism, expenditures (current US$)"
"International tourism, expenditures (% of total imports)"
Merchandise trade (% of GDP)
Import volume index (2015 = 100)
"Binding coverage, manufactured products (%)"
"Bound rate, simple mean, manufactured products (%)"
"Share of tariff lines with international peaks, manufactured products (%)"
"Tariff rate, applied, simple mean, manufactured products (%)"
"Tariff rate, most favored nation, simple mean, manufactured products (%)"
"Share of tariff lines with specific rates, manufactured products (%)"
"Tariff rate, applied, weighted mean, manufactured products (%)"
"Tariff rate, most favored nation, weighted mean, manufactured products (%)"
"Binding coverage, all products (%)"
"Bound rate, simple mean, all products (%)"
"Share of tariff lines with international peaks, all products (%)"
"Tariff rate, applied, simple mean, all products (%)"
"Tariff rate, most favored nation, simple mean, all products (%)"
"Share of tariff lines with specific rates, all products (%)"
"Tariff rate, applied, weighted mean, all products (%)"
"Tariff rate, most favored nation, weighted mean, all products (%)"
"Binding coverage, primary products (%)"
"Bound rate, simple mean, primary products (%)"
"Share of tariff lines with international peaks, primary products (%)"
"Tariff rate, applied, simple mean, primary products (%)"
"Tariff rate, most favored nation, simple mean, primary products (%)"
"Share of tariff lines with specific rates, primary products (%)"
"Tariff rate, applied, weighted mean, primary products (%)"
"Tariff rate, most favored nation, weighted mean, primary products (%)"
Import unit value index (2015 = 100)
Agricultural raw materials imports (% of merchandise imports)
Food imports (% of merchandise imports)
Fuel imports (% of merchandise imports)
ICT goods imports (% total goods imports)
Insurance and financial services (% of commercial service imports)
Manufactures imports (% of merchandise imports)
Ores and metals imports (% of merchandise imports)
Merchandise imports from economies in the Arab World (% of total merchandise imports)
Merchandise imports (current US$)
Merchandise imports from high-income economies (% of total merchandise imports)
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
Merchandise imports by the reporting economy (current US$)
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
Import value index (2015 = 100)
"Computer, communications and other services (% of commercial service imports)"
Commercial service imports (current US$)
Transport services (% of commercial service imports)
Travel services (% of commercial service imports)
Net barter terms of trade index (2015 = 100)
Medium and high-tech exports (% manufactured exports)
Export volume index (2015 = 100)
Export unit value index (2015 = 100)
Agricultural raw materials exports (% of merchandise exports)
Food exports (% of merchandise exports)
Fuel exports (% of merchandise exports)
ICT goods exports (% of total goods exports)
Insurance and financial services (% of commercial service exports)
Manufactures exports (% of merchandise exports)
Ores and metals exports (% of merchandise exports)
Merchandise exports to economies in the Arab World (% of total merchandise exports)
Merchandise exports (current US$)
Merchandise exports to high-income economies (% of total merchandise exports)
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
Merchandise exports by the reporting economy (current US$)
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
Export value index (2015 = 100)
"Computer, communications and other services (% of commercial service exports)"
Commercial service exports (current US$)
High-technology exports (current US$)
High-technology exports (% of manufactured exports)
Transport services (% of commercial service exports)
Travel services (% of commercial service exports)
Battle-related deaths (number of people)
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"
"Internally displaced persons, new displacement associated with disasters (number of cases)"
"Internally displaced persons, total displaced by conflict and violence (number of people)"
"Intentional homicides, female (per 100,000 female)"
"Intentional homicides, male (per 100,000 male)"
"Intentional homicides (per 100,000 people)"
